Student with hard logits approach
Step 0: loss = 47.26910
Training Data Eval:
  Num examples: 49920, Num correct: 5138, Precision @ 1: 0.1029
('Testing Data Eval: EPOCH->', 1)
  Num examples: 9984, Num correct: 995, Precision @ 1: 0.0997
Step 5: loss = 46.33414
Step 10: loss = 45.30171
Step 15: loss = 32.72942
Step 20: loss = 45.77860
Step 25: loss = 38.21163
Step 30: loss = 15.40983
Step 35: loss = 16.97143
Step 40: loss = 10.74943
Step 45: loss = 12.27082
Step 50: loss = 25.33324
Step 55: loss = 22.78808
Step 60: loss = 18.62647
Step 65: loss = 5.01086
Step 70: loss = 5.74832
Step 75: loss = 10.68139
Step 80: loss = 24.41976
Step 85: loss = 23.38013
Step 90: loss = 15.07789
Step 95: loss = 34.53686
Step 100: loss = 26.92674
Step 105: loss = 29.86273
Step 110: loss = 12.34555
Step 115: loss = 32.02282
Step 120: loss = 21.52330
Step 125: loss = 22.72293
Step 130: loss = 40.75697
Step 135: loss = 19.44054
Step 140: loss = 11.56510
Step 145: loss = 30.35620
Step 150: loss = 22.45044
Step 155: loss = 11.66410
Step 160: loss = 11.28425
Step 165: loss = 11.35319
Step 170: loss = 13.19609
Step 175: loss = 16.44588
Step 180: loss = 20.61983
Step 185: loss = 19.38466
Step 190: loss = 16.65982
Step 195: loss = 16.94733
Step 200: loss = 21.58088
Step 205: loss = 9.74121
Step 210: loss = 16.74536
Step 215: loss = 22.90719
Step 220: loss = 34.32856
Step 225: loss = 18.30330
Step 230: loss = 38.11414
Step 235: loss = 27.43356
Step 240: loss = 44.02953
Step 245: loss = 49.44608
Step 250: loss = 36.22060
Step 255: loss = 49.96891
Step 260: loss = 52.60670
Step 265: loss = 27.55409
Step 270: loss = 38.56991
Step 275: loss = 31.22985
Step 280: loss = 45.50566
Step 285: loss = 72.43465
Step 290: loss = 56.63750
Step 295: loss = 22.08665
Step 300: loss = 18.59037
Step 305: loss = 39.81058
Step 310: loss = 29.25377
Step 315: loss = 18.94446
Step 320: loss = 24.43372
Step 325: loss = 41.25897
Step 330: loss = 41.24215
Step 335: loss = 24.93248
Step 340: loss = 33.72909
Step 345: loss = 22.14770
Step 350: loss = 16.83145
Step 355: loss = 36.46304
Step 360: loss = 17.45375
Step 365: loss = 20.69840
Step 370: loss = 9.66487
Step 375: loss = 12.48088
Step 380: loss = 14.82806
Step 385: loss = 39.73094
Step 390: loss = 54.58423
Training Data Eval:
  Num examples: 49920, Num correct: 6381, Precision @ 1: 0.1278
('Testing Data Eval: EPOCH->', 2)
