Student with Knowledge Distillation Approach
Step 0: loss = 51.20522
Training Data Eval:
  Num examples: 49920, Num correct: 5087, Precision @ 1: 0.1019
('Testing Data Eval: EPOCH->', 1)
  Num examples: 9984, Num correct: 1013, Precision @ 1: 0.1015
Step 5: loss = 33.18996
Step 10: loss = 28.65107
Step 15: loss = 18.65153
Step 20: loss = 18.04365
Step 25: loss = 13.09928
Step 30: loss = 9.48796
Step 35: loss = 7.83959
Step 40: loss = 6.61018
Step 45: loss = 5.07819
Step 50: loss = 6.35630
Step 55: loss = 4.78599
Step 60: loss = 7.06929
Step 65: loss = 4.76987
Step 70: loss = 5.38326
Step 75: loss = 5.31780
Step 80: loss = 5.02615
Step 85: loss = 5.53283
Step 90: loss = 6.13509
Step 95: loss = 6.29367
Step 100: loss = 5.32285
Step 105: loss = 6.80410
Step 110: loss = 4.24549
Step 115: loss = 3.84287
Step 120: loss = 5.06775
Step 125: loss = 2.83910
Step 130: loss = 2.85921
Step 135: loss = 4.64503
Step 140: loss = 3.63306
Step 145: loss = 3.60605
Step 150: loss = 3.73840
Step 155: loss = 2.59652
Step 160: loss = 2.91390
Step 165: loss = 3.92853
Step 170: loss = 5.62882
Step 175: loss = 2.68952
Step 180: loss = 5.12804
Step 185: loss = 3.28613
Step 190: loss = 2.50369
Step 195: loss = 3.77484
Step 200: loss = 3.16166
Step 205: loss = 5.29567
Step 210: loss = 4.26006
Step 215: loss = 2.60343
Step 220: loss = 5.56893
Step 225: loss = 2.65171
Step 230: loss = 4.68358
Step 235: loss = 3.29893
Step 240: loss = 3.18559
Step 245: loss = 4.68408
Step 250: loss = 2.68317
Step 255: loss = 3.60907
Step 260: loss = 2.95046
Step 265: loss = 4.43206
Step 270: loss = 4.09840
Step 275: loss = 2.92942
Step 280: loss = 3.07073
Step 285: loss = 2.48167
Step 290: loss = 3.48647
Step 295: loss = 2.72819
Step 300: loss = 2.51073
Step 305: loss = 5.37627
Step 310: loss = 4.43963
Step 315: loss = 2.24649
Step 320: loss = 2.39236
Step 325: loss = 4.59460
Step 330: loss = 2.48309
Step 335: loss = 3.15715
Step 340: loss = 3.51114
Step 345: loss = 4.60988
Step 350: loss = 3.73242
Step 355: loss = 2.49486
Step 360: loss = 3.82637
Step 365: loss = 2.12590
Step 370: loss = 3.09866
Step 375: loss = 2.58892
Step 380: loss = 3.22490
Step 385: loss = 2.43567
Step 390: loss = 3.96972
Training Data Eval:
  Num examples: 49920, Num correct: 9226, Precision @ 1: 0.1848
('Testing Data Eval: EPOCH->', 2)
  Num examples: 9984, Num correct: 1883, Precision @ 1: 0.1886
Step 395: loss = 3.67929
Step 400: loss = 4.74278
Step 405: loss = 3.19889
Step 410: loss = 2.81899
Step 415: loss = 2.24546
Step 420: loss = 3.58172
Step 425: loss = 3.24982
Step 430: loss = 2.55431
Step 435: loss = 3.28348
Step 440: loss = 2.05243
Step 445: loss = 2.13748
Step 450: loss = 3.52991
Step 455: loss = 3.18425
Step 460: loss = 3.61653
Step 465: loss = 2.52368
Step 470: loss = 2.47123
Step 475: loss = 3.64216
Step 480: loss = 2.83268
Step 485: loss = 2.78576
Step 490: loss = 2.15710
Step 495: loss = 1.98216
Step 500: loss = 2.85503
Step 505: loss = 2.03113
Step 510: loss = 1.89101
Step 515: loss = 1.89816
Step 520: loss = 2.57077
Step 525: loss = 1.97689
Step 530: loss = 1.91544
Step 535: loss = 1.87832
Step 540: loss = 2.54994
Step 545: loss = 3.00113
Step 550: loss = 2.24942
Step 555: loss = 2.44681
Step 560: loss = 2.98290
Step 565: loss = 2.26115
Step 570: loss = 2.50226
Step 575: loss = 2.02777
Step 580: loss = 2.01107
Step 585: loss = 3.76329
Step 590: loss = 2.01613
Step 595: loss = 2.33427
Step 600: loss = 2.14123
Step 605: loss = 2.11776
Step 610: loss = 1.96919
Step 615: loss = 2.32533
Step 620: loss = 1.92696
Step 625: loss = 2.10347
Step 630: loss = 4.36385
Step 635: loss = 2.15486
Step 640: loss = 2.55400
Step 645: loss = 2.20460
Step 650: loss = 2.02029
Step 655: loss = 1.91608
Step 660: loss = 2.49641
Step 665: loss = 1.91891
Step 670: loss = 2.00917
Step 675: loss = 2.85773
Step 680: loss = 2.12991
Step 685: loss = 2.26637
Step 690: loss = 1.83085
Step 695: loss = 2.31577
Step 700: loss = 1.78351
Step 705: loss = 2.40021
Step 710: loss = 1.86340
Step 715: loss = 1.99379
Step 720: loss = 1.91759
Step 725: loss = 2.89043
Step 730: loss = 1.78127
Step 735: loss = 2.75704
Step 740: loss = 2.21236
Step 745: loss = 2.34426
Step 750: loss = 1.78566
Step 755: loss = 2.30344
Step 760: loss = 1.94589
Step 765: loss = 2.24379
Step 770: loss = 1.92956
Step 775: loss = 1.79732
Step 780: loss = 2.18779
Training Data Eval:
  Num examples: 49920, Num correct: 15764, Precision @ 1: 0.3158
('Testing Data Eval: EPOCH->', 3)
  Num examples: 9984, Num correct: 3048, Precision @ 1: 0.3053
Step 785: loss = 1.71523
Step 790: loss = 2.34139
Step 795: loss = 2.42934
Step 800: loss = 2.19817
Step 805: loss = 1.86303
Step 810: loss = 2.33262
Step 815: loss = 1.76156
Step 820: loss = 1.65585
Step 825: loss = 1.98439
Step 830: loss = 2.00379
Step 835: loss = 1.90984
Step 840: loss = 1.82923
Step 845: loss = 1.74792
Step 850: loss = 1.81438
Step 855: loss = 2.43708
Step 860: loss = 2.15127
Step 865: loss = 1.72567
Step 870: loss = 3.11174
Step 875: loss = 2.35144
Step 880: loss = 1.91108
Step 885: loss = 2.06573
Step 890: loss = 2.76442
Step 895: loss = 2.49833
Step 900: loss = 1.71214
Step 905: loss = 1.85204
Step 910: loss = 1.85245
Step 915: loss = 2.20563
Step 920: loss = 1.81188
Step 925: loss = 1.98975
Step 930: loss = 2.05008
Step 935: loss = 1.69817
Step 940: loss = 1.82852
Step 945: loss = 1.68569
Step 950: loss = 1.94360
Step 955: loss = 1.80304
Step 960: loss = 2.13190
Step 965: loss = 1.71033
Step 970: loss = 1.79445
Step 975: loss = 1.87298
Step 980: loss = 1.89249
Step 985: loss = 2.16901
Step 990: loss = 1.81832
Step 995: loss = 1.71622
Step 1000: loss = 2.08342
Step 1005: loss = 2.14835
Step 1010: loss = 1.65347
Step 1015: loss = 1.52877
Step 1020: loss = 2.42739
Step 1025: loss = 1.86147
Step 1030: loss = 2.59024
Step 1035: loss = 1.66764
Step 1040: loss = 1.63469
Step 1045: loss = 1.89004
Step 1050: loss = 1.69402
Step 1055: loss = 1.73822
Step 1060: loss = 1.70246
Step 1065: loss = 1.75491
Step 1070: loss = 1.62761
Step 1075: loss = 2.34937
Step 1080: loss = 2.10333
Step 1085: loss = 1.65999
Step 1090: loss = 1.79265
Step 1095: loss = 1.68855
Step 1100: loss = 1.58044
Step 1105: loss = 1.71606
Step 1110: loss = 1.83498
Step 1115: loss = 1.84504
Step 1120: loss = 1.72121
Step 1125: loss = 2.90476
Step 1130: loss = 1.80174
Step 1135: loss = 1.86663
Step 1140: loss = 1.43669
Step 1145: loss = 1.45582
Step 1150: loss = 1.55340
Step 1155: loss = 1.64758
Step 1160: loss = 1.86785
Step 1165: loss = 2.40116
Step 1170: loss = 1.72358
Training Data Eval:
  Num examples: 49920, Num correct: 19238, Precision @ 1: 0.3854
('Testing Data Eval: EPOCH->', 4)
  Num examples: 9984, Num correct: 3670, Precision @ 1: 0.3676
Step 1175: loss = 1.91392
Step 1180: loss = 1.81586
Step 1185: loss = 1.75268
Step 1190: loss = 1.57704
Step 1195: loss = 1.75185
Step 1200: loss = 1.50171
Step 1205: loss = 1.51114
Step 1210: loss = 1.65106
Step 1215: loss = 2.50292
Step 1220: loss = 2.15097
Step 1225: loss = 2.12996
Step 1230: loss = 1.77292
Step 1235: loss = 2.02794
Step 1240: loss = 1.63988
Step 1245: loss = 1.67126
Step 1250: loss = 2.35255
Step 1255: loss = 1.81319
Step 1260: loss = 1.71131
Step 1265: loss = 1.47416
Step 1270: loss = 1.72129
Step 1275: loss = 1.60121
Step 1280: loss = 1.84648
Step 1285: loss = 1.68242
Step 1290: loss = 1.84817
Step 1295: loss = 1.52076
Step 1300: loss = 1.66303
Step 1305: loss = 2.77375
Step 1310: loss = 1.50501
Step 1315: loss = 1.63463
Step 1320: loss = 1.74959
Step 1325: loss = 1.65160
Step 1330: loss = 1.70278
Step 1335: loss = 1.76005
Step 1340: loss = 1.54146
Step 1345: loss = 2.20416
Step 1350: loss = 1.49265
Step 1355: loss = 1.55829
Step 1360: loss = 2.08227
Step 1365: loss = 1.76968
Step 1370: loss = 1.48114
Step 1375: loss = 1.78052
Step 1380: loss = 1.85131
Step 1385: loss = 1.70041
Step 1390: loss = 1.99110
Step 1395: loss = 1.78001
Step 1400: loss = 2.00669
Step 1405: loss = 1.81079
Step 1410: loss = 1.63644
Step 1415: loss = 1.68467
Step 1420: loss = 1.70677
Step 1425: loss = 1.44619
Step 1430: loss = 1.57594
Step 1435: loss = 1.49397
Step 1440: loss = 1.52550
Step 1445: loss = 1.52956
Step 1450: loss = 1.54961
Step 1455: loss = 1.45018
Step 1460: loss = 1.66612
Step 1465: loss = 1.58594
Step 1470: loss = 1.52729
Step 1475: loss = 1.70826
Step 1480: loss = 1.61986
Step 1485: loss = 2.15645
Step 1490: loss = 1.95336
Step 1495: loss = 1.76112
Step 1500: loss = 1.57418
Step 1505: loss = 1.61668
Step 1510: loss = 1.56169
Step 1515: loss = 1.57153
Step 1520: loss = 1.50624
Step 1525: loss = 1.44808
Step 1530: loss = 1.83935
Step 1535: loss = 1.89100
Step 1540: loss = 1.50334
Step 1545: loss = 1.46829
Step 1550: loss = 1.53245
Step 1555: loss = 1.49568
Step 1560: loss = 1.51926
Training Data Eval:
  Num examples: 49920, Num correct: 21961, Precision @ 1: 0.4399
('Testing Data Eval: EPOCH->', 5)
  Num examples: 9984, Num correct: 4092, Precision @ 1: 0.4099
Step 1565: loss = 1.50072
Step 1570: loss = 1.51291
Step 1575: loss = 1.38028
Step 1580: loss = 1.68620
Step 1585: loss = 1.46856
Step 1590: loss = 1.57697
Step 1595: loss = 1.53737
Step 1600: loss = 1.40681
Step 1605: loss = 1.56273
Step 1610: loss = 1.56717
Step 1615: loss = 1.63478
Step 1620: loss = 1.58645
Step 1625: loss = 1.55529
Step 1630: loss = 1.43091
Step 1635: loss = 1.46983
Step 1640: loss = 1.83461
Step 1645: loss = 1.75672
Step 1650: loss = 1.64845
Step 1655: loss = 1.43056
Step 1660: loss = 1.31557
Step 1665: loss = 1.49693
Step 1670: loss = 1.55537
Step 1675: loss = 1.54865
Step 1680: loss = 1.67605
Step 1685: loss = 1.42057
Step 1690: loss = 1.92618
Step 1695: loss = 1.87287
Step 1700: loss = 1.56558
Step 1705: loss = 1.42470
Step 1710: loss = 1.30027
Step 1715: loss = 1.40517
Step 1720: loss = 1.38337
Step 1725: loss = 1.37080
Step 1730: loss = 1.56906
Step 1735: loss = 1.45424
Step 1740: loss = 1.46944
Step 1745: loss = 1.38919
Step 1750: loss = 1.50639
Step 1755: loss = 1.41339
Step 1760: loss = 1.55844
Step 1765: loss = 1.42037
Step 1770: loss = 1.46277
Step 1775: loss = 1.68100
Step 1780: loss = 1.47437
Step 1785: loss = 1.43969
Step 1790: loss = 1.46908
Step 1795: loss = 1.66805
Step 1800: loss = 1.36711
Step 1805: loss = 1.44429
Step 1810: loss = 1.60906
Step 1815: loss = 1.27536
Step 1820: loss = 1.72238
Step 1825: loss = 1.45008
Step 1830: loss = 1.88926
Step 1835: loss = 1.59829
Step 1840: loss = 1.29779
Step 1845: loss = 1.48578
Step 1850: loss = 1.61210
Step 1855: loss = 1.34870
Step 1860: loss = 1.37982
Step 1865: loss = 1.66595
Step 1870: loss = 1.44917
Step 1875: loss = 1.33966
Step 1880: loss = 1.57126
Step 1885: loss = 1.51162
Step 1890: loss = 1.78176
Step 1895: loss = 1.39025
Step 1900: loss = 1.60911
Step 1905: loss = 1.52463
Step 1910: loss = 1.37411
Step 1915: loss = 1.38633
Step 1920: loss = 1.46992
Step 1925: loss = 1.46762
Step 1930: loss = 1.35054
Step 1935: loss = 1.34700
Step 1940: loss = 1.68331
Step 1945: loss = 1.50842
Step 1950: loss = 1.33289
Training Data Eval:
  Num examples: 49920, Num correct: 23850, Precision @ 1: 0.4778
('Testing Data Eval: EPOCH->', 6)
  Num examples: 9984, Num correct: 4369, Precision @ 1: 0.4376
Step 1955: loss = 1.73807
Step 1960: loss = 1.67800
Step 1965: loss = 1.44166
Step 1970: loss = 1.41489
Step 1975: loss = 1.33196
Step 1980: loss = 1.34283
Step 1985: loss = 1.36233
Step 1990: loss = 1.45512
Step 1995: loss = 1.38068
Step 2000: loss = 1.29384
Step 2005: loss = 1.62220
Step 2010: loss = 1.55297
Step 2015: loss = 1.26243
Step 2020: loss = 1.37488
Step 2025: loss = 1.54068
Step 2030: loss = 1.45792
Step 2035: loss = 1.18673
Step 2040: loss = 1.66302
Step 2045: loss = 1.57236
Step 2050: loss = 1.34176
Step 2055: loss = 1.27016
Step 2060: loss = 1.45518
Step 2065: loss = 1.26928
Step 2070: loss = 1.95616
Step 2075: loss = 1.40160
Step 2080: loss = 1.35406
Step 2085: loss = 1.50910
Step 2090: loss = 1.23847
Step 2095: loss = 1.38966
Step 2100: loss = 1.63910
Step 2105: loss = 1.43984
Step 2110: loss = 1.38921
Step 2115: loss = 1.39258
Step 2120: loss = 1.57533
Step 2125: loss = 1.48035
Step 2130: loss = 1.69176
Step 2135: loss = 1.45355
Step 2140: loss = 1.33171
Step 2145: loss = 1.32977
Step 2150: loss = 1.55109
Step 2155: loss = 1.51542
Step 2160: loss = 1.40441
Step 2165: loss = 1.48657
Step 2170: loss = 1.40200
Step 2175: loss = 1.40755
Step 2180: loss = 1.65774
Step 2185: loss = 1.27573
Step 2190: loss = 1.38000
Step 2195: loss = 1.49984
Step 2200: loss = 1.49065
Step 2205: loss = 1.55828
Step 2210: loss = 1.56350
Step 2215: loss = 1.50778
Step 2220: loss = 1.47962
Step 2225: loss = 1.27624
Step 2230: loss = 1.30223
Step 2235: loss = 1.41871
Step 2240: loss = 1.42383
Step 2245: loss = 1.51405
Step 2250: loss = 1.77283
Step 2255: loss = 1.40453
Step 2260: loss = 1.39856
Step 2265: loss = 1.51198
Step 2270: loss = 1.21886
Step 2275: loss = 1.29044
Step 2280: loss = 1.57197
Step 2285: loss = 1.44505
Step 2290: loss = 1.68581
Step 2295: loss = 1.17959
Step 2300: loss = 1.49148
Step 2305: loss = 1.74134
Step 2310: loss = 1.51593
Step 2315: loss = 1.47232
Step 2320: loss = 1.42592
Step 2325: loss = 1.50845
Step 2330: loss = 1.42224
Step 2335: loss = 1.49910
Step 2340: loss = 1.25920
Training Data Eval:
  Num examples: 49920, Num correct: 25549, Precision @ 1: 0.5118
('Testing Data Eval: EPOCH->', 7)
  Num examples: 9984, Num correct: 4741, Precision @ 1: 0.4749
Step 2345: loss = 1.37968
Step 2350: loss = 1.42049
Step 2355: loss = 1.45258
Step 2360: loss = 1.26943
Step 2365: loss = 1.43082
Step 2370: loss = 1.40704
Step 2375: loss = 1.49819
Step 2380: loss = 1.54202
Step 2385: loss = 1.20333
Step 2390: loss = 1.46776
Step 2395: loss = 1.37192
Step 2400: loss = 1.58470
Step 2405: loss = 1.33969
Step 2410: loss = 1.35957
Step 2415: loss = 1.72161
Step 2420: loss = 1.24356
Step 2425: loss = 1.32293
Step 2430: loss = 1.08375
Step 2435: loss = 1.62569
Step 2440: loss = 1.27695
Step 2445: loss = 1.34832
Step 2450: loss = 1.38515
Step 2455: loss = 1.28654
Step 2460: loss = 1.24674
Step 2465: loss = 1.26456
Step 2470: loss = 1.50979
Step 2475: loss = 1.52343
Step 2480: loss = 1.70324
Step 2485: loss = 1.34654
Step 2490: loss = 1.29590
Step 2495: loss = 1.26555
Step 2500: loss = 1.17838
Step 2505: loss = 1.30730
Step 2510: loss = 1.13123
Step 2515: loss = 1.36182
Step 2520: loss = 1.41679
Step 2525: loss = 1.23981
Step 2530: loss = 1.26806
Step 2535: loss = 1.30558
Step 2540: loss = 1.41310
Step 2545: loss = 1.20481
Step 2550: loss = 1.23084
Step 2555: loss = 1.51458
Step 2560: loss = 1.32009
Step 2565: loss = 1.44644
Step 2570: loss = 1.36209
Step 2575: loss = 1.67002
Step 2580: loss = 1.23144
Step 2585: loss = 1.22608
Step 2590: loss = 1.55836
Step 2595: loss = 1.27604
Step 2600: loss = 1.36296
Step 2605: loss = 1.38916
Step 2610: loss = 1.58129
Step 2615: loss = 1.43729
Step 2620: loss = 1.23972
