Student with Knowledge Distillation Approach
Step 0: loss = 51.20523
Training Data Eval:
  Num examples: 49920, Num correct: 5035, Precision @ 1: 0.1009
('Testing Data Eval: EPOCH->', 1)
  Num examples: 9984, Num correct: 1046, Precision @ 1: 0.1048
Step 5: loss = 32.52525
Step 10: loss = 29.42445
Step 15: loss = 19.67978
Step 20: loss = 18.36261
Step 25: loss = 13.69417
Step 30: loss = 9.52470
Step 35: loss = 9.33482
Step 40: loss = 7.58317
Step 45: loss = 5.48153
Step 50: loss = 5.66797
Step 55: loss = 4.95403
Step 60: loss = 6.06398
Step 65: loss = 5.16693
Step 70: loss = 5.27277
Step 75: loss = 6.36966
Step 80: loss = 4.45716
Step 85: loss = 5.01124
Step 90: loss = 5.62998
Step 95: loss = 6.21582
Step 100: loss = 5.71335
Step 105: loss = 7.60492
Step 110: loss = 3.97958
Step 115: loss = 4.12801
Step 120: loss = 6.18508
Step 125: loss = 2.82823
Step 130: loss = 2.81060
Step 135: loss = 4.59253
Step 140: loss = 3.38368
Step 145: loss = 3.90646
Step 150: loss = 3.62642
Step 155: loss = 2.66344
Step 160: loss = 2.78687
Step 165: loss = 3.98480
Step 170: loss = 6.35928
Step 175: loss = 2.53045
Step 180: loss = 4.95178
Step 185: loss = 3.11681
Step 190: loss = 2.50124
Step 195: loss = 3.87482
Step 200: loss = 2.95834
Step 205: loss = 5.35297
Step 210: loss = 5.52618
Step 215: loss = 2.56951
Step 220: loss = 4.17214
Step 225: loss = 2.68450
Step 230: loss = 4.02369
Step 235: loss = 3.03692
Step 240: loss = 4.10317
Step 245: loss = 3.85335
Step 250: loss = 2.74063
Step 255: loss = 4.33516
Step 260: loss = 2.52761
Step 265: loss = 4.45481
Step 270: loss = 3.84361
Step 275: loss = 3.44486
Step 280: loss = 2.56034
Step 285: loss = 2.46987
Step 290: loss = 3.55571
Step 295: loss = 3.55240
Step 300: loss = 3.05286
Step 305: loss = 4.11498
Step 310: loss = 3.84175
Step 315: loss = 2.39412
Step 320: loss = 2.38754
Step 325: loss = 4.07112
Step 330: loss = 2.76715
Step 335: loss = 2.88948
Step 340: loss = 3.85381
Step 345: loss = 3.84675
Step 350: loss = 3.70874
Step 355: loss = 2.35349
Step 360: loss = 3.70661
Step 365: loss = 2.35652
Step 370: loss = 2.88447
Step 375: loss = 3.65275
Step 380: loss = 2.74466
Step 385: loss = 2.43295
Step 390: loss = 4.28521
Training Data Eval:
  Num examples: 49920, Num correct: 9921, Precision @ 1: 0.1987
('Testing Data Eval: EPOCH->', 2)
  Num examples: 9984, Num correct: 1999, Precision @ 1: 0.2002
Step 395: loss = 2.77274
Step 400: loss = 4.71323
Step 405: loss = 2.93619
Step 410: loss = 3.60133
Step 415: loss = 2.92079
Step 420: loss = 2.79061
Step 425: loss = 2.85941
Step 430: loss = 2.61910
Step 435: loss = 3.34540
Step 440: loss = 2.09628
Step 445: loss = 2.00324
Step 450: loss = 4.18471
Step 455: loss = 3.64771
Step 460: loss = 3.30098
Step 465: loss = 2.10617
Step 470: loss = 2.25857
Step 475: loss = 3.50992
Step 480: loss = 2.61600
Step 485: loss = 2.74385
Step 490: loss = 2.43309
Step 495: loss = 2.11525
Step 500: loss = 2.45593
Step 505: loss = 2.04226
Step 510: loss = 1.88461
Step 515: loss = 1.95915
Step 520: loss = 2.35155
Step 525: loss = 1.87964
Step 530: loss = 1.88333
Step 535: loss = 1.79715
Step 540: loss = 2.91170
Step 545: loss = 3.79910
Step 550: loss = 2.36138
Step 555: loss = 2.58508
Step 560: loss = 3.27159
Step 565: loss = 2.68660
Step 570: loss = 2.74768
Step 575: loss = 1.84045
Step 580: loss = 1.97956
Step 585: loss = 4.30544
Step 590: loss = 2.31166
Step 595: loss = 2.64677
Step 600: loss = 2.02373
Step 605: loss = 2.11345
Step 610: loss = 2.00078
Step 615: loss = 1.92026
Step 620: loss = 1.91720
Step 625: loss = 1.92930
Step 630: loss = 3.52966
Step 635: loss = 3.00791
Step 640: loss = 3.71483
Step 645: loss = 2.28712
Step 650: loss = 1.88391
Step 655: loss = 2.94062
Step 660: loss = 2.07750
Step 665: loss = 1.84606
Step 670: loss = 1.88475
Step 675: loss = 3.27385
Step 680: loss = 2.02051
Step 685: loss = 1.92289
Step 690: loss = 1.97505
Step 695: loss = 3.02780
Step 700: loss = 1.84947
Step 705: loss = 2.07698
Step 710: loss = 1.90344
Step 715: loss = 2.33949
Step 720: loss = 1.82064
Step 725: loss = 1.94392
Step 730: loss = 2.02612
Step 735: loss = 2.37396
Step 740: loss = 2.85623
Step 745: loss = 2.05925
Step 750: loss = 2.52858
Step 755: loss = 2.65523
Step 760: loss = 2.09103
Step 765: loss = 2.25213
Step 770: loss = 1.61978
Step 775: loss = 1.81643
Step 780: loss = 2.56319
Training Data Eval:
  Num examples: 49920, Num correct: 15997, Precision @ 1: 0.3205
('Testing Data Eval: EPOCH->', 3)
  Num examples: 9984, Num correct: 3128, Precision @ 1: 0.3133
Step 785: loss = 1.68832
Step 790: loss = 2.28394
Step 795: loss = 2.01641
Step 800: loss = 1.91805
Step 805: loss = 1.69138
Step 810: loss = 2.20426
Step 815: loss = 1.82069
Step 820: loss = 1.71553
Step 825: loss = 1.89964
Step 830: loss = 1.91229
Step 835: loss = 2.19533
Step 840: loss = 1.93648
Step 845: loss = 1.94270
Step 850: loss = 2.36081
Step 855: loss = 2.10578
Step 860: loss = 1.84302
Step 865: loss = 1.67590
Step 870: loss = 3.99494
Step 875: loss = 2.44081
Step 880: loss = 1.84746
Step 885: loss = 1.92929
Step 890: loss = 1.62586
Step 895: loss = 2.44844
Step 900: loss = 1.73514
Step 905: loss = 1.75745
Step 910: loss = 1.71524
Step 915: loss = 1.84255
Step 920: loss = 1.73233
Step 925: loss = 1.81537
Step 930: loss = 1.80891
Step 935: loss = 1.58028
Step 940: loss = 1.75426
Step 945: loss = 1.76659
Step 950: loss = 1.95324
Step 955: loss = 1.97297
Step 960: loss = 1.91146
Step 965: loss = 1.70318
Step 970: loss = 1.69208
Step 975: loss = 2.03252
Step 980: loss = 1.77589
Step 985: loss = 2.28150
Step 990: loss = 1.89354
Step 995: loss = 1.63432
Step 1000: loss = 1.95227
Step 1005: loss = 1.95229
Step 1010: loss = 1.72384
Step 1015: loss = 1.52051
Step 1020: loss = 2.85194
Step 1025: loss = 1.72592
Step 1030: loss = 2.56175
Step 1035: loss = 1.65173
Step 1040: loss = 1.56094
Step 1045: loss = 1.76446
Step 1050: loss = 1.65241
Step 1055: loss = 2.14377
Step 1060: loss = 1.57229
Step 1065: loss = 1.65785
Step 1070: loss = 1.70973
Step 1075: loss = 2.31468
Step 1080: loss = 1.63704
Step 1085: loss = 1.52593
Step 1090: loss = 1.75169
Step 1095: loss = 1.70825
Step 1100: loss = 1.54165
Step 1105: loss = 1.72347
Step 1110: loss = 1.71026
Step 1115: loss = 1.66265
Step 1120: loss = 1.78670
Step 1125: loss = 3.17433
Step 1130: loss = 1.66583
Step 1135: loss = 1.61189
Step 1140: loss = 1.39340
Step 1145: loss = 1.44758
Step 1150: loss = 1.45985
Step 1155: loss = 1.66740
Step 1160: loss = 1.74426
Step 1165: loss = 1.81576
Step 1170: loss = 2.13982
Training Data Eval:
  Num examples: 49920, Num correct: 19597, Precision @ 1: 0.3926
('Testing Data Eval: EPOCH->', 4)
  Num examples: 9984, Num correct: 3595, Precision @ 1: 0.3601
Step 1175: loss = 2.00669
Step 1180: loss = 1.70036
Step 1185: loss = 1.77552
Step 1190: loss = 1.93731
Step 1195: loss = 1.72234
Step 1200: loss = 1.56657
Step 1205: loss = 1.54263
Step 1210: loss = 1.66946
Step 1215: loss = 2.24146
Step 1220: loss = 2.50987
Step 1225: loss = 1.96991
Step 1230: loss = 2.25754
Step 1235: loss = 2.01555
Step 1240: loss = 1.76010
Step 1245: loss = 1.49668
Step 1250: loss = 1.93663
Step 1255: loss = 1.52566
Step 1260: loss = 1.52394
Step 1265: loss = 1.44303
Step 1270: loss = 1.60996
Step 1275: loss = 1.50940
Step 1280: loss = 1.81512
Step 1285: loss = 1.72408
Step 1290: loss = 1.82517
Step 1295: loss = 1.55507
Step 1300: loss = 1.73958
Step 1305: loss = 2.77552
Step 1310: loss = 1.52121
Step 1315: loss = 1.83800
Step 1320: loss = 1.87931
Step 1325: loss = 1.46468
Step 1330: loss = 1.80316
Step 1335: loss = 1.72293
Step 1340: loss = 1.44079
Step 1345: loss = 2.37377
Step 1350: loss = 1.79665
Step 1355: loss = 1.46276
Step 1360: loss = 1.86939
Step 1365: loss = 1.94611
Step 1370: loss = 1.52122
Step 1375: loss = 1.60268
Step 1380: loss = 2.42167
Step 1385: loss = 1.66963
Step 1390: loss = 2.04633
Step 1395: loss = 1.88967
Step 1400: loss = 2.16224
Step 1405: loss = 1.72958
Step 1410: loss = 1.64860
Step 1415: loss = 1.60146
Step 1420: loss = 1.63229
Step 1425: loss = 1.57868
Step 1430: loss = 1.49968
Step 1435: loss = 1.49058
Step 1440: loss = 1.72765
Step 1445: loss = 1.62090
Step 1450: loss = 1.56475
Step 1455: loss = 1.45067
Step 1460: loss = 1.70903
Step 1465: loss = 1.70503
Step 1470: loss = 1.60897
Step 1475: loss = 1.69292
Step 1480: loss = 1.51816
Step 1485: loss = 1.80373
Step 1490: loss = 1.91643
Step 1495: loss = 1.51501
Step 1500: loss = 1.67518
Step 1505: loss = 1.53608
Step 1510: loss = 1.80521
Step 1515: loss = 1.53862
Step 1520: loss = 1.39894
Step 1525: loss = 1.50272
Step 1530: loss = 1.73974
Step 1535: loss = 1.89389
Step 1540: loss = 1.50753
Step 1545: loss = 1.46607
Step 1550: loss = 1.66076
Step 1555: loss = 1.48518
Step 1560: loss = 1.48645
Training Data Eval:
  Num examples: 49920, Num correct: 22600, Precision @ 1: 0.4527
('Testing Data Eval: EPOCH->', 5)
  Num examples: 9984, Num correct: 4276, Precision @ 1: 0.4283
Step 1565: loss = 1.28988
Step 1570: loss = 1.48708
Step 1575: loss = 1.51100
Step 1580: loss = 1.74944
Step 1585: loss = 1.42627
Step 1590: loss = 1.55950
Step 1595: loss = 1.68944
Step 1600: loss = 1.39057
Step 1605: loss = 1.41399
Step 1610: loss = 1.51376
Step 1615: loss = 1.71105
Step 1620: loss = 1.52872
Step 1625: loss = 1.60578
Step 1630: loss = 1.54601
Step 1635: loss = 1.56124
Step 1640: loss = 1.53454
Step 1645: loss = 1.43563
Step 1650: loss = 1.48181
Step 1655: loss = 1.38122
Step 1660: loss = 2.09880
Step 1665: loss = 1.72387
Step 1670: loss = 1.50159
Step 1675: loss = 1.49335
Step 1680: loss = 1.50613
Step 1685: loss = 1.56440
Step 1690: loss = 1.85088
Step 1695: loss = 1.90508
Step 1700: loss = 1.75558
Step 1705: loss = 1.45381
Step 1710: loss = 1.22073
Step 1715: loss = 1.31735
Step 1720: loss = 1.28251
Step 1725: loss = 1.29848
Step 1730: loss = 1.52558
Step 1735: loss = 1.43744
Step 1740: loss = 1.48480
Step 1745: loss = 1.36697
Step 1750: loss = 1.40606
Step 1755: loss = 1.53252
Step 1760: loss = 1.79652
Step 1765: loss = 1.34481
Step 1770: loss = 1.47291
Step 1775: loss = 1.34465
Step 1780: loss = 1.45099
Step 1785: loss = 1.56424
Step 1790: loss = 1.52961
Step 1795: loss = 1.57033
Step 1800: loss = 1.32612
Step 1805: loss = 1.36627
Step 1810: loss = 1.49727
Step 1815: loss = 1.26625
Step 1820: loss = 1.92480
Step 1825: loss = 1.63154
Step 1830: loss = 2.05149
Step 1835: loss = 1.65875
Step 1840: loss = 1.23576
Step 1845: loss = 1.46933
Step 1850: loss = 1.60372
Step 1855: loss = 1.44163
Step 1860: loss = 1.34833
Step 1865: loss = 1.99000
Step 1870: loss = 1.47100
Step 1875: loss = 1.22348
Step 1880: loss = 1.62346
Step 1885: loss = 1.45366
Step 1890: loss = 1.47015
Step 1895: loss = 1.34804
Step 1900: loss = 1.44840
Step 1905: loss = 1.59429
Step 1910: loss = 1.44276
Step 1915: loss = 1.45087
Step 1920: loss = 1.46847
Step 1925: loss = 1.34265
Step 1930: loss = 1.29060
Step 1935: loss = 1.45923
Step 1940: loss = 1.54649
Step 1945: loss = 1.46269
Step 1950: loss = 1.31767
Training Data Eval:
  Num examples: 49920, Num correct: 24527, Precision @ 1: 0.4913
('Testing Data Eval: EPOCH->', 6)
  Num examples: 9984, Num correct: 4507, Precision @ 1: 0.4514
Step 1955: loss = 1.62287
Step 1960: loss = 1.62904
Step 1965: loss = 1.44825
Step 1970: loss = 1.31920
Step 1975: loss = 1.31010
Step 1980: loss = 1.36072
Step 1985: loss = 1.41363
Step 1990: loss = 1.35242
Step 1995: loss = 1.29065
Step 2000: loss = 1.29133
Step 2005: loss = 1.60114
Step 2010: loss = 1.57953
Step 2015: loss = 1.23776
Step 2020: loss = 1.32752
Step 2025: loss = 1.51998
Step 2030: loss = 1.41373
Step 2035: loss = 1.17962
Step 2040: loss = 1.68030
Step 2045: loss = 1.51870
Step 2050: loss = 1.34688
Step 2055: loss = 1.34748
Step 2060: loss = 1.43254
Step 2065: loss = 1.28124
Step 2070: loss = 1.56071
Step 2075: loss = 1.32693
Step 2080: loss = 1.29040
Step 2085: loss = 1.52510
Step 2090: loss = 1.23064
Step 2095: loss = 1.37815
Step 2100: loss = 1.51349
Step 2105: loss = 1.57755
Step 2110: loss = 1.33653
Step 2115: loss = 1.45515
Step 2120: loss = 1.60891
Step 2125: loss = 1.37410
Step 2130: loss = 1.43869
Step 2135: loss = 1.44896
Step 2140: loss = 1.34813
Step 2145: loss = 1.41519
Step 2150: loss = 1.34972
Step 2155: loss = 1.46778
Step 2160: loss = 1.40266
Step 2165: loss = 1.36564
Step 2170: loss = 1.61176
Step 2175: loss = 1.58448
Step 2180: loss = 1.83882
Step 2185: loss = 1.15538
Step 2190: loss = 1.36687
Step 2195: loss = 1.48613
Step 2200: loss = 1.45784
Step 2205: loss = 1.56029
Step 2210: loss = 1.47511
Step 2215: loss = 1.46418
Step 2220: loss = 1.52067
Step 2225: loss = 1.34939
Step 2230: loss = 1.32206
Step 2235: loss = 1.47877
Step 2240: loss = 1.33962
Step 2245: loss = 1.81100
Step 2250: loss = 1.52031
Step 2255: loss = 1.37357
Step 2260: loss = 1.37559
Step 2265: loss = 1.52079
Step 2270: loss = 1.19487
Step 2275: loss = 1.26966
Step 2280: loss = 1.36126
Step 2285: loss = 1.41729
Step 2290: loss = 1.60489
Step 2295: loss = 1.24115
Step 2300: loss = 1.58204
Step 2305: loss = 1.74871
Step 2310: loss = 1.51865
Step 2315: loss = 1.32141
Step 2320: loss = 1.29371
Step 2325: loss = 1.48998
