Student with Knowledge Distillation Approach
Step 0: loss = 56.55967
Training Data Eval:
  Num examples: 50000, Num correct: 5086, Precision @ 1: 0.1017
('Testing Data Eval: EPOCH->', 1)
  Num examples: 10000, Num correct: 1008, Precision @ 1: 0.1008
Step 5: loss = 34.46380
Step 10: loss = 31.11990
Step 15: loss = 23.66595
Step 20: loss = 20.64250
Step 25: loss = 15.83779
Step 30: loss = 12.79501
Step 35: loss = 12.24191
Step 40: loss = 7.67017
Step 45: loss = 11.45201
Step 50: loss = 5.61711
Step 55: loss = 11.02300
Step 60: loss = 7.47436
Step 65: loss = 9.89329
Step 70: loss = 6.10783
Step 75: loss = 8.26885
Step 80: loss = 7.80345
Step 85: loss = 4.85104
Step 90: loss = 4.53046
Step 95: loss = 9.02737
Step 100: loss = 7.23609
Step 105: loss = 4.97468
Step 110: loss = 4.33755
Step 115: loss = 6.79774
Step 120: loss = 5.42305
Step 125: loss = 8.83796
Step 130: loss = 5.45527
Step 135: loss = 5.85658
Step 140: loss = 5.81980
Step 145: loss = 9.80881
Step 150: loss = 2.96723
Step 155: loss = 4.98067
Step 160: loss = 8.76931
Step 165: loss = 3.20225
Step 170: loss = 3.61890
Step 175: loss = 4.88019
Step 180: loss = 4.14938
Step 185: loss = 6.01803
Step 190: loss = 4.26161
Step 195: loss = 5.10005
Step 200: loss = 3.06215
Step 205: loss = 3.04842
Step 210: loss = 7.40235
Step 215: loss = 8.61206
Step 220: loss = 3.27937
Step 225: loss = 5.02155
Step 230: loss = 4.46208
Step 235: loss = 7.55161
Step 240: loss = 3.32788
Step 245: loss = 5.88235
Step 250: loss = 4.74453
Step 255: loss = 6.19238
Step 260: loss = 6.21329
Step 265: loss = 5.79802
Step 270: loss = 8.21625
Step 275: loss = 4.54210
Step 280: loss = 3.38508
Step 285: loss = 4.60269
Step 290: loss = 2.61114
Step 295: loss = 3.70169
Step 300: loss = 2.32222
Step 305: loss = 5.11240
Step 310: loss = 3.23698
Step 315: loss = 6.79891
Step 320: loss = 2.51578
Step 325: loss = 6.72342
Step 330: loss = 3.89266
Step 335: loss = 3.56057
Step 340: loss = 2.62429
Step 345: loss = 2.22687
Step 350: loss = 4.98665
Step 355: loss = 5.16570
Step 360: loss = 2.50798
Step 365: loss = 2.67801
Step 370: loss = 4.73439
Step 375: loss = 4.66033
Step 380: loss = 4.77867
Step 385: loss = 2.79146
Step 390: loss = 6.22398
Step 395: loss = 4.35515
Step 400: loss = 3.38339
Step 405: loss = 3.27815
Step 410: loss = 2.79836
Step 415: loss = 3.15966
Step 420: loss = 3.13175
Step 425: loss = 5.05692
Step 430: loss = 2.41716
Step 435: loss = 3.27053
Step 440: loss = 2.98254
Step 445: loss = 3.83259
Step 450: loss = 4.66050
Step 455: loss = 2.60976
Step 460: loss = 3.04778
Step 465: loss = 6.58917
Step 470: loss = 2.93774
Step 475: loss = 3.05304
Step 480: loss = 2.12694
Step 485: loss = 2.50736
Step 490: loss = 3.46077
Step 495: loss = 3.52945
Step 500: loss = 3.06799
Step 505: loss = 5.98189
Step 510: loss = 5.36283
Step 515: loss = 3.52964
Step 520: loss = 4.83111
Step 525: loss = 2.20669
Step 530: loss = 5.00143
Step 535: loss = 2.43815
Step 540: loss = 3.55455
Step 545: loss = 2.05615
Step 550: loss = 2.79879
Step 555: loss = 2.38590
Step 560: loss = 4.75673
Step 565: loss = 3.66620
Step 570: loss = 1.88773
Step 575: loss = 4.06912
Step 580: loss = 4.09754
Step 585: loss = 3.31466
Step 590: loss = 4.12706
Step 595: loss = 4.04501
Step 600: loss = 3.87107
Step 605: loss = 3.43159
Step 610: loss = 2.00147
Step 615: loss = 4.20991
Step 620: loss = 2.67097
Step 625: loss = 2.29942
Step 630: loss = 2.44756
Step 635: loss = 4.89192
Step 640: loss = 2.36020
Step 645: loss = 3.25341
Step 650: loss = 2.39602
Step 655: loss = 2.11488
Step 660: loss = 2.71605
Step 665: loss = 2.21946
Step 670: loss = 2.69611
Step 675: loss = 2.88481
Step 680: loss = 2.43504
Step 685: loss = 3.23727
Step 690: loss = 2.64894
Step 695: loss = 1.93904
Step 700: loss = 3.77015
Step 705: loss = 3.01609
Step 710: loss = 2.25438
Step 715: loss = 3.31309
Step 720: loss = 2.47875
