Student with multiple layers approach
Step 0: loss = 61.61459
Training Data Eval:
  Num examples: 50000, Num correct: 5080, Precision @ 1: 0.1016
('Testing Data Eval: EPOCH->', 1)
  Num examples: 10000, Num correct: 983, Precision @ 1: 0.0983
Step 5: loss = 37.90377
Step 10: loss = 36.83546
Step 15: loss = 32.17913
Step 20: loss = 31.11674
Step 25: loss = 26.95446
Step 30: loss = 21.83818
Step 35: loss = 21.09143
Step 40: loss = 15.02694
Step 45: loss = 15.55936
Step 50: loss = 10.67265
Step 55: loss = 14.79121
Step 60: loss = 8.30143
Step 65: loss = 8.23729
Step 70: loss = 11.47060
Step 75: loss = 9.02913
Step 80: loss = 11.28258
Step 85: loss = 5.05210
Step 90: loss = 4.47331
Step 95: loss = 9.88405
Step 100: loss = 9.68543
Step 105: loss = 3.92591
Step 110: loss = 3.56886
Step 115: loss = 5.25610
Step 120: loss = 5.20030
Step 125: loss = 9.00605
Step 130: loss = 7.43775
Step 135: loss = 4.10409
Step 140: loss = 8.62724
Step 145: loss = 5.16734
Step 150: loss = 4.85564
Step 155: loss = 5.01157
Step 160: loss = 10.33872
Step 165: loss = 4.73914
Step 170: loss = 8.44345
Step 175: loss = 5.66730
Step 180: loss = 4.39033
Step 185: loss = 7.42278
Step 190: loss = 5.22925
Step 195: loss = 3.62093
Step 200: loss = 3.28793
Step 205: loss = 6.20332
Step 210: loss = 7.09708
Step 215: loss = 5.54878
Step 220: loss = 3.10834
Step 225: loss = 5.66804
Step 230: loss = 3.79320
Step 235: loss = 6.15042
Step 240: loss = 3.99873
Step 245: loss = 4.60228
Step 250: loss = 5.06681
Step 255: loss = 7.29621
Step 260: loss = 4.97630
Step 265: loss = 7.08082
Step 270: loss = 6.41995
Step 275: loss = 4.89410
Step 280: loss = 3.26629
Step 285: loss = 5.32558
Step 290: loss = 4.19682
Step 295: loss = 3.78595
Step 300: loss = 2.44486
Step 305: loss = 3.58878
Step 310: loss = 3.01285
Step 315: loss = 3.99887
Step 320: loss = 2.58593
Step 325: loss = 4.90735
Step 330: loss = 3.88156
Step 335: loss = 3.12797
Step 340: loss = 2.46049
Step 345: loss = 2.34499
Step 350: loss = 5.41418
Step 355: loss = 5.09296
Step 360: loss = 2.77298
Step 365: loss = 2.57402
Step 370: loss = 2.65790
Step 375: loss = 5.21397
Step 380: loss = 5.22858
Step 385: loss = 2.94214
Step 390: loss = 3.42420
Step 395: loss = 4.87299
Step 400: loss = 5.92836
Step 405: loss = 4.13933
Step 410: loss = 2.41612
Step 415: loss = 2.93739
Step 420: loss = 2.54480
Step 425: loss = 4.31306
Step 430: loss = 2.08418
Step 435: loss = 4.59583
Step 440: loss = 2.56336
Step 445: loss = 4.40080
Step 450: loss = 3.08780
Step 455: loss = 2.13482
Step 460: loss = 3.74983
Step 465: loss = 6.89666
Step 470: loss = 3.85946
Step 475: loss = 4.74679
Step 480: loss = 2.23520
Step 485: loss = 2.19398
Step 490: loss = 2.32330
Step 495: loss = 4.06202
Step 500: loss = 3.05301
Step 505: loss = 7.82339
Step 510: loss = 2.90276
Step 515: loss = 3.64911
Step 520: loss = 3.64922
Step 525: loss = 2.07263
Step 530: loss = 4.49823
Step 535: loss = 2.22305
Step 540: loss = 4.24709
Step 545: loss = 3.29164
Step 550: loss = 1.97317
Step 555: loss = 2.23370
Step 560: loss = 2.54163
Step 565: loss = 2.20968
Step 570: loss = 1.91624
Step 575: loss = 3.52790
Step 580: loss = 3.47860
Step 585: loss = 2.71604
Step 590: loss = 2.71340
Step 595: loss = 3.46453
Step 600: loss = 2.30047
Step 605: loss = 3.79535
Step 610: loss = 2.33313
Step 615: loss = 4.50762
Step 620: loss = 2.78449
Step 625: loss = 2.20736
Step 630: loss = 2.22654
Step 635: loss = 5.13782
Step 640: loss = 2.71452
Step 645: loss = 3.67923
Step 650: loss = 2.48783
Step 655: loss = 4.20058
Step 660: loss = 2.34711
Step 665: loss = 2.40686
Step 670: loss = 2.72899
Step 675: loss = 3.14759
Step 680: loss = 2.08167
Step 685: loss = 4.07988
Step 690: loss = 2.94479
Step 695: loss = 2.23598
Step 700: loss = 4.69223
Step 705: loss = 2.70801
Step 710: loss = 2.60769
Step 715: loss = 3.37200
Step 720: loss = 3.22449
Step 725: loss = 2.05537
Step 730: loss = 3.66660
Step 735: loss = 3.36710
Step 740: loss = 2.62359
Step 745: loss = 2.67660
Step 750: loss = 3.52442
Step 755: loss = 3.14607
Step 760: loss = 3.00207
Step 765: loss = 2.89905
Step 770: loss = 2.36429
Step 775: loss = 2.90836
Step 780: loss = 2.54012
Step 785: loss = 2.08681
Step 790: loss = 3.41525
Step 795: loss = 4.66781
Step 800: loss = 2.45096
Step 805: loss = 2.23032
Step 810: loss = 2.06914
Step 815: loss = 3.75842
Step 820: loss = 2.60398
Step 825: loss = 2.89867
Step 830: loss = 2.52315
Step 835: loss = 3.49630
Step 840: loss = 2.85629
Step 845: loss = 2.51177
Step 850: loss = 3.25601
Step 855: loss = 1.97006
Step 860: loss = 3.24779
Step 865: loss = 3.37305
Step 870: loss = 2.79334
Step 875: loss = 1.88358
Step 880: loss = 2.40509
Step 885: loss = 2.12725
Step 890: loss = 1.86499
Step 895: loss = 3.14541
Step 900: loss = 1.93135
Step 905: loss = 2.03986
Step 910: loss = 1.90982
Step 915: loss = 2.53863
Step 920: loss = 5.90692
Step 925: loss = 4.09868
Step 930: loss = 2.48292
Step 935: loss = 1.64800
Step 940: loss = 2.22108
Step 945: loss = 2.43715
Step 950: loss = 2.10566
Step 955: loss = 2.30270
Step 960: loss = 2.28361
Step 965: loss = 2.01420
Step 970: loss = 2.85517
Step 975: loss = 2.93033
Step 980: loss = 1.82697
Step 985: loss = 3.21442
Step 990: loss = 2.15613
Step 995: loss = 3.80169
Step 1000: loss = 2.75290
Training Data Eval:
  Num examples: 50000, Num correct: 13575, Precision @ 1: 0.2715
('Testing Data Eval: EPOCH->', 2)
  Num examples: 10000, Num correct: 2627, Precision @ 1: 0.2627
Step 1005: loss = 1.87569
Step 1010: loss = 2.33903
Step 1015: loss = 2.04308
Step 1020: loss = 1.72757
Step 1025: loss = 2.62560
Step 1030: loss = 3.38191
Step 1035: loss = 2.09118
Step 1040: loss = 2.04087
Step 1045: loss = 2.74518
Step 1050: loss = 2.66262
Step 1055: loss = 1.94644
Step 1060: loss = 2.23496
Step 1065: loss = 2.15717
Step 1070: loss = 3.64622
Step 1075: loss = 2.01509
Step 1080: loss = 3.67522
Step 1085: loss = 3.29494
Step 1090: loss = 3.57639
Step 1095: loss = 2.07372
Step 1100: loss = 1.72073
Step 1105: loss = 3.03542
Step 1110: loss = 2.70356
Step 1115: loss = 1.84892
Step 1120: loss = 1.95438
Step 1125: loss = 3.59670
Step 1130: loss = 2.10432
Step 1135: loss = 1.75377
Step 1140: loss = 2.57502
Step 1145: loss = 2.02593
Step 1150: loss = 1.98939
Step 1155: loss = 3.05684
Step 1160: loss = 2.58698
Step 1165: loss = 2.67988
Step 1170: loss = 2.30859
Step 1175: loss = 2.10150
Step 1180: loss = 2.31685
Step 1185: loss = 1.91833
Step 1190: loss = 2.09465
Step 1195: loss = 2.07487
Step 1200: loss = 2.19166
Step 1205: loss = 2.78209
Step 1210: loss = 1.92027
Step 1215: loss = 1.81622
Step 1220: loss = 1.83938
Step 1225: loss = 1.96023
Step 1230: loss = 2.47469
Step 1235: loss = 2.25307
Step 1240: loss = 2.08659
Step 1245: loss = 1.56088
Step 1250: loss = 2.94417
Step 1255: loss = 1.87683
Step 1260: loss = 1.76933
Step 1265: loss = 1.84428
Step 1270: loss = 3.05082
Step 1275: loss = 4.10019
Step 1280: loss = 2.68443
Step 1285: loss = 2.08336
Step 1290: loss = 1.77132
Step 1295: loss = 1.96972
Step 1300: loss = 2.14564
Step 1305: loss = 2.08638
Step 1310: loss = 1.77529
Step 1315: loss = 2.30511
Step 1320: loss = 1.74450
Step 1325: loss = 2.69315
Step 1330: loss = 2.53053
Step 1335: loss = 2.23957
Step 1340: loss = 1.90448
Step 1345: loss = 1.70909
Step 1350: loss = 1.77223
Step 1355: loss = 1.86844
Step 1360: loss = 2.16755
Step 1365: loss = 1.77866
Step 1370: loss = 2.32271
Step 1375: loss = 1.60213
Step 1380: loss = 2.14611
Step 1385: loss = 2.46096
Step 1390: loss = 1.80744
Step 1395: loss = 2.35157
Step 1400: loss = 4.30662
Step 1405: loss = 2.38990
Step 1410: loss = 1.78827
Step 1415: loss = 1.82634
Step 1420: loss = 1.76019
Step 1425: loss = 2.32173
Step 1430: loss = 1.69726
Step 1435: loss = 1.64543
Step 1440: loss = 2.13376
Step 1445: loss = 1.93379
Step 1450: loss = 2.25744
Step 1455: loss = 1.84582
Step 1460: loss = 2.11864
Step 1465: loss = 1.62156
Step 1470: loss = 1.99051
Step 1475: loss = 1.77361
Step 1480: loss = 1.80970
Step 1485: loss = 2.29306
Step 1490: loss = 2.10421
Step 1495: loss = 2.29769
Step 1500: loss = 1.75827
Step 1505: loss = 1.81055
Step 1510: loss = 2.14330
Step 1515: loss = 1.77033
Step 1520: loss = 1.76248
Step 1525: loss = 1.79604
Step 1530: loss = 1.70796
Step 1535: loss = 2.35649
Step 1540: loss = 3.10045
Step 1545: loss = 2.21587
Step 1550: loss = 1.82664
Step 1555: loss = 2.30123
Step 1560: loss = 2.00861
Step 1565: loss = 2.21649
Step 1570: loss = 1.70986
Step 1575: loss = 1.97415
Step 1580: loss = 2.77146
Step 1585: loss = 1.63301
Step 1590: loss = 2.34657
Step 1595: loss = 2.16041
Step 1600: loss = 1.81337
Step 1605: loss = 1.68090
Step 1610: loss = 1.87696
Step 1615: loss = 1.74094
Step 1620: loss = 1.87435
Step 1625: loss = 2.59727
Step 1630: loss = 1.63792
Step 1635: loss = 1.99329
Step 1640: loss = 1.73828
Step 1645: loss = 1.88796
Step 1650: loss = 2.47770
Step 1655: loss = 1.98931
Step 1660: loss = 1.79452
Step 1665: loss = 1.85472
Step 1670: loss = 1.96533
Step 1675: loss = 2.29276
Step 1680: loss = 1.89112
Step 1685: loss = 1.93524
Step 1690: loss = 1.98087
Step 1695: loss = 1.95960
Step 1700: loss = 2.03700
Step 1705: loss = 1.77005
Step 1710: loss = 1.55764
Step 1715: loss = 1.86209
Step 1720: loss = 1.69325
Step 1725: loss = 2.11961
Step 1730: loss = 2.42329
Step 1735: loss = 1.63620
Step 1740: loss = 1.64883
Step 1745: loss = 1.73834
Step 1750: loss = 3.40182
Step 1755: loss = 2.52102
Step 1760: loss = 1.57897
Step 1765: loss = 1.81728
Step 1770: loss = 1.62552
Step 1775: loss = 1.63389
Step 1780: loss = 1.60107
Step 1785: loss = 1.55820
Step 1790: loss = 1.79516
Step 1795: loss = 1.77785
Step 1800: loss = 1.68944
Step 1805: loss = 1.78518
Step 1810: loss = 1.93439
Step 1815: loss = 1.85143
Step 1820: loss = 1.44074
Step 1825: loss = 1.80701
Step 1830: loss = 1.56160
Step 1835: loss = 1.69474
Step 1840: loss = 1.63149
Step 1845: loss = 2.15741
Step 1850: loss = 1.56106
Step 1855: loss = 1.85006
Step 1860: loss = 1.83777
Step 1865: loss = 2.00534
Step 1870: loss = 1.54451
Step 1875: loss = 1.86690
Step 1880: loss = 2.05550
Step 1885: loss = 1.77015
Step 1890: loss = 1.67604
Step 1895: loss = 1.82414
Step 1900: loss = 1.90975
Step 1905: loss = 1.53185
Step 1910: loss = 1.80675
Step 1915: loss = 1.86082
Step 1920: loss = 1.84385
Step 1925: loss = 1.35868
Step 1930: loss = 1.83530
Step 1935: loss = 1.57752
Step 1940: loss = 2.36483
Step 1945: loss = 1.81079
Step 1950: loss = 1.79280
Step 1955: loss = 1.93660
Step 1960: loss = 1.93638
Step 1965: loss = 1.52000
Step 1970: loss = 3.14105
Step 1975: loss = 1.89583
Step 1980: loss = 2.02894
Step 1985: loss = 1.94591
Step 1990: loss = 1.82925
Step 1995: loss = 2.43412
Step 2000: loss = 1.62830
Training Data Eval:
  Num examples: 50000, Num correct: 18521, Precision @ 1: 0.3704
('Testing Data Eval: EPOCH->', 3)
  Num examples: 10000, Num correct: 3487, Precision @ 1: 0.3487
Step 2005: loss = 1.64174
Step 2010: loss = 2.10866
Step 2015: loss = 1.62700
Step 2020: loss = 1.75557
Step 2025: loss = 1.70196
Step 2030: loss = 1.63850
Step 2035: loss = 1.38811
Step 2040: loss = 1.79280
Step 2045: loss = 1.64674
Step 2050: loss = 1.75089
Step 2055: loss = 1.74507
Step 2060: loss = 1.85957
Step 2065: loss = 1.58094
Step 2070: loss = 1.76507
Step 2075: loss = 1.83797
Step 2080: loss = 1.84696
Step 2085: loss = 1.70555
Step 2090: loss = 1.88325
Step 2095: loss = 1.81015
Step 2100: loss = 1.52600
Step 2105: loss = 1.58176
Step 2110: loss = 1.63997
Step 2115: loss = 1.68419
Step 2120: loss = 1.63137
Step 2125: loss = 2.01768
Step 2130: loss = 1.87758
Step 2135: loss = 1.73735
Step 2140: loss = 1.47163
Step 2145: loss = 1.85545
Step 2150: loss = 1.96911
Step 2155: loss = 1.74372
Step 2160: loss = 1.62368
